PMID,Article Title,Year,Month,Day,Chemical List,keywords,,,,
29560575,Molecular characterization and identification of facilitative glucose transporter 2 (GLUT2) and its expression and of the related glycometabolism enzymes in response to different starch levels in blunt snout bream (Megalobrama amblycephala).,2018,3,22,[],"['Blunt snout bream', 'Glucose transporter 2', 'Glycometabolism', 'Starch']",,,,
29557418,The Diagnostic Value of Pyruvate Kinase Isoenzyme Type M2 for Biliary Tract Carcinoma. A Systematic Review and Meta-Analysis.,2018,3,21,[],[],,,,
29556780,Taurine supplementation induces long-term beneficial effects on glucose homeostasis in ob/ob mice.,2018,3,21,[],"['AMP-activated protein', 'Aging', 'Insulin secretion', 'Metabolic flexibility', 'Pyruvate carboxylase', 'ob/ob mice']",,,,
29552625,Experimental Nonalcoholic Steatohepatitis and Liver Fibrosis Are Ameliorated by Pharmacologic Activation of Nrf2 (NF-E2 p45-Related Factor 2).,2018,3,20,[],"['ACACA, acetyl-CoA carboxylase alpha', 'ACLY, ATP citrate lyase', 'ACOT7, acetyl-CoA thioesterase 7', 'ACOX2, acetyl-CoA oxidase 2', 'ADRP, adipose differentiation-related protein', 'AP-1, activator protein 1', 'ATF4, activating transcription factor-4', 'ATF6, activating transcription factor-6', 'ApoB, apolipoprotein B', 'BCL-2, B-cell lymphoma', 'BIP, binding immunoglobulin protein', 'C/EBP, CCAAT/enhancer-binding protein', 'CAT, catalase', 'CD36, cluster of differentiation 36', 'CDDO, 2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oic acid', 'CES1G, carboxylesterase 1g', 'CHOP, C/EBP\xc2\xa0homologous protein', 'COL1A1, collagen, type I, alpha-1', 'COX2, cyclooxygenase-2', 'CPT1A, carnitine palmitoyltransferase 1a', 'ChREBP, carbohydrate-responsive element-binding protein', 'DGAT2, diacylglycerol acyltransferase-2', 'DMSO, dimethyl sulfoxide', 'ER, endoplasmic reticulum', 'FASN, fatty acid synthase', 'FXR, farnesoid X receptor', 'GCLC, glutamate-cysteine ligase catalytic', 'GCLM, glutamate-cysteine ligase modifier', 'GPX2, glutathione peroxidase-2', 'GSH, reduced glutathione', 'GSSG, oxidized glutathione', 'GSTA4, glutathione S-transferase Alpha-4', 'GSTM1, glutathione S-transferase Mu-1', 'GTT, glucose tolerance test', 'H&E, hematoxylin and eosin', 'HF, high-fat', 'HF30Fr, high-fat diet with 30% fructose in drinking water', 'HF55Fr, high-fat diet with 55% fructose in drinking water', 'HFFr, high-fat diet with fructose in drinking water', 'HMOX1, heme oxygenase-1', 'IKK, I\xce\xbaB kinase', 'IRE1\xce\xb1, inositol requiring kinase-1\xce\xb1', 'ITT, insulin tolerance test', 'I\xce\xbaB, inhibitor of NF-\xce\xbaB', 'JNK1, c-Jun N-terminal kinase 1', 'Keap1, Kelch-like ECH-associated protein-1', 'LXR\xce\xb1, liver X receptor \xce\xb1', 'MCD, methionine- and choline-deficient', 'MCP-1, monocyte chemotactic protein-1', 'MGPAT, mitochondrial glycerol-3-phosphate acetyltransferase', 'MPO, myeloperoxidase', 'MTTP, microsomal triglyceride transfer protein', 'NAFLD, non-alcoholic fatty liver disease', 'NAS, NAFLD activity score', 'NASH', 'NASH, nonalcoholic steatohepatitis', 'NF-\xce\xbaB, nuclear factor-\xce\xbaB', 'NOS2, nitric oxide synthase-2', 'NQO1, NAD(P)H:quinone oxidoreductase 1', 'Nrf2', 'Nrf2, NF-E2 p45-related factor 2', 'PARP, poly ADP ribose polymerase', 'PCR, polymerase chain reaction', 'PDI, protein disulfide isomerase', 'PERK, PRK-like endoplasmic reticulum kinase', 'PPAR\xce\xb1, peroxisome proliferator-activated receptor \xce\xb1', 'PPAR\xce\xb3, peroxisome proliferator-activated receptor \xce\xb3', 'PRDX6, peroxiredoxin 6', 'PTGR1, prostaglandin reductase-1', 'PTT, pyruvate tolerance test', 'RC, regular chow', 'SCAD, short-chain acyl-CoA dehydrogenase', 'SCD1, stearoyl-CoA desaturase-1', 'SFN, sulforaphane', 'SHP, small heterodimer partner', 'SLC7A11, solute carrier family 7 member 11', 'SREBP-1c, sterol regulatory element-binding protein-1c', 'TBE-31', 'TGF\xce\xb2, transforming growth factor beta-1', 'TNF-\xce\xb1, tumor necrosis factor-\xce\xb1', 'TXN1, thioredoxin-1', 'TXNRD1, thioredoxin reductase-1', 'UPR, unfolded protein response', 'XBP1, X-box binding protein-1', 'eIf2\xce\xb1, eukaryotic translation initiation factor 2A', 'p58IPK, p58 inhibitor of the PKR kinase', 'qRT-PCR, quantitative reverse transcriptase PCR', '\xce\xb1-SMA, alpha smooth muscle actin']",,,,
29552193,"Effect of HK2, PKM2 and LDHA on Cetuximab efficacy in metastatic colorectal cancer.",2018,3,20,[],"['HK-II', 'LDHA', 'PKM2', 'cetuximab', 'mCRC']",,,,
29552018,viaSuppressing Nuclear Pyruvate Kinase M2-Signal Transducer and Activator of Transcription 3 Pathway.,2018,3,20,[],"['2-deoxyglucose', 'caloric restriction mimetic', 'inflammation', 'pyruvate kinase M2', 'signal transducer and activator of transcription 3']",,,,
29550120,α-Lactalbumin-oleic acid complex kills tumor cells by inducing excess energy metabolism but inhibiting mRNA expression of the related enzymes.,2018,3,20,[],"['extracellular acidification rate', 'glycolysis', 'mitochondrial oxidative phosphorylation', 'oxygen consumption rate', 'tricarboxylic acid cycle']",,,,
29549173,The clinical spectrum of pyruvate kinase deficiency: data from the Pyruvate Kinase Deficiency Natural History Study.,2018,3,20,[],[],,,,
29546539,1-contaminated diet.,2018,3,17,[],"['AFB1', 'Adenylate kinase', 'Brain', 'Creatine kinase', 'Pyruvate kinase']",,,,
29545180,Hepatic glucose-6-phosphatase-α deficiency leads to metabolic reprogramming in glycogen storage disease type Ia.,2018,3,17,[],"['Gene therapy', 'Glycolysis', 'Hepatocellular adenoma/carcinoma', 'Hexose monophosphate shunt']",,,,
